key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: '1', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: '2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-student-01,true,"UserIdentity{name: 'Andres', surname: 'Dominguez', email: 'student01@gmail.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Javier', surname: 'Gonzalez', email: 'student02@gmail.com'}",student2,student2
user-account-company-01,true,"UserIdentity{name: 'Javier', surname: 'Fernández', email: 'company01@gmail.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Manuel', surname: 'Barrera', email: 'company02@gmail.com'}",company2,company2
user-account-lecturer-01,true,"UserIdentity{name: 'Manuel', surname: 'Otero', email: 'lecturer01@gmail.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Maria', surname: 'Barbasan', email: 'lecturer02@gmail.com'}",lecturer2,lecturer2
user-account-assistant-01,true,"UserIdentity{name: 'assistant', surname: '1', email: 'assistant01@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'assistant', surname: '2', email: 'assistant02@acme.com'}",assistant2,assistant2
user-account-assistant-03,true,"UserIdentity{name: 'assistant', surname: 'sample-data', email: 'assistantSampleData@acme.com'}",assistantSD,assistant
user-account-auditor-01,true,"UserIdentity{name: 'auditor', surname: '1', email: 'auditor01@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'auditor', surname: '2', email: 'auditor02@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'auditor', surname: 'sample', email: 'auditorSample@acme.com'}",auditorS,auditor
user-account-01,true,"UserIdentity{name: 'User', surname: '1', email: 'user01@acme.com'}",user1,user1
user-account-02,true,"UserIdentity{name: 'User', surname: '2', email: 'user02@acme.com'}",user2,user2
user-account-03,true,"UserIdentity{name: 'User', surname: '3', email: 'user03@acme.com'}",user3,user3
user-account-04,true,"UserIdentity{name: 'User', surname: '4', email: 'user04@acme.com'}",user4,user4
user-account-05,true,"UserIdentity{name: 'User', surname: '5', email: 'user05@acme.com'}",user5,user5
user-account-06,true,"UserIdentity{name: 'User', surname: '6', email: 'user06@acme.com'}",user6,user6
user-account-07,true,"UserIdentity{name: 'User', surname: '7', email: 'user07@acme.com'}",user7,user7
user-account-08,true,"UserIdentity{name: 'User', surname: '8', email: 'user08@acme.com'}",user8,user8
user-account-09,true,"UserIdentity{name: 'User', surname: '9', email: 'user09@acme.com'}",user9,user9
user-account-10,true,"UserIdentity{name: 'User', surname: '10', email: 'user11@acme.com'}",user10,user10
user-account-11,true,"UserIdentity{name: 'User', surname: '11', email: 'user12@acme.com'}",user11,user11
user-account-12,true,"UserIdentity{name: 'User', surname: '12', email: 'user13@acme.com'}",user12,user12
user-account-13,true,"UserIdentity{name: 'User', surname: '13', email: 'user14@acme.com'}",user13,user13
user-account-14,true,"UserIdentity{name: 'User', surname: '14', email: 'user15@acme.com'}",user14,user14
user-account-15,true,"UserIdentity{name: 'User', surname: '15', email: 'user16@acme.com'}",user15,user15
user-account-16,true,"UserIdentity{name: 'User', surname: '16', email: 'user17@acme.com'}",user16,user16
user-account-17,true,"UserIdentity{name: 'User', surname: '17', email: 'user18@acme.com'}",user17,user17
user-account-18,true,"UserIdentity{name: 'User', surname: '18', email: 'user19@acme.com'}",user18,user18
user-account-19,true,"UserIdentity{name: 'User', surname: '19', email: 'user20@acme.com'}",user19,user19
user-account-20,true,"UserIdentity{name: 'User', surname: '20', email: 'user21@acme.com'}",user20,user20
user-account-21,true,"UserIdentity{name: 'User', surname: '21', email: 'user22@acme.com'}",user21,user21
user-account-22,true,"UserIdentity{name: 'User', surname: '22', email: 'user23@acme.com'}",user22,user22
user-account-23,true,"UserIdentity{name: 'User', surname: '23', email: 'user24@acme.com'}",user23,user23
user-account-24,true,"UserIdentity{name: 'User', surname: '24', email: 'user25@acme.com'}",user24,user24
user-account-25,true,"UserIdentity{name: 'User', surname: '25', email: 'user26@acme.com'}",user25,user25
user-account-26,true,"UserIdentity{name: 'User', surname: '26', email: 'user27@acme.com'}",user26,user26
user-account-27,true,"UserIdentity{name: 'User', surname: '27', email: 'user28@acme.com'}",user27,user27
user-account-28,true,"UserIdentity{name: 'User', surname: '28', email: 'user29@acme.com'}",user28,user28
user-account-29,true,"UserIdentity{name: 'User', surname: '29', email: 'user30@acme.com'}",user29,user29
user-account-30,true,"UserIdentity{name: 'User', surname: '30', email: 'user31@acme.com'}",user30,user30
user-account-31,true,"UserIdentity{name: 'User', surname: '31', email: 'user32@acme.com'}",user31,user31
user-account-32,true,"UserIdentity{name: 'User', surname: '32', email: 'user33@acme.com'}",user32,user32
user-account-33,true,"UserIdentity{name: 'User', surname: '33', email: 'user34@acme.com'}",user33,user33
user-account-100,true,"UserIdentity{name: 'User', surname: '100', email: 'user100@acme.com'}",lecturerTest,lecturerTest
